# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      7     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      7     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     44      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      7     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      7     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
    0      6     45      -      0      0      0      0      -      -    405    139      5      5      0 
